FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2014 ORDINANCE (AMOUNT $)
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,345,APPARATUS AND INSTRUMENTS,$9180.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,348,BOOKS AND RELATED MTL,$1700.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPL,$3500.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,9041,PAYMENT SPECIAL ASSESMT,$1500.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,9142,X-OFFENDER/RE-ENTRY INI,$250000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$9696372.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,12,CONTRACT WAGE-PR,$181452.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,15,SCHEDULE SALARY ADJ,$4706.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,20,OVERTIME,$98775.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,39,STUDENT AS TRAINEES,$10000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,130,POSTAGE,$396.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,149,SOFTWARE MAINT/LICENSING,$6000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,154,RENTAL-DATA HARDWARE EQ,$4500.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,$114450.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,159,LEASE PURCHASE AGREEMNT,$27154.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$20104.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,181,MOBILE COMM SERVICES,$209500.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,188,VEHICLE TRACKING SERVICE,$56140.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,189,TELEPHONE NON-CENTREX,$900.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,190,TELEPHONE-CENTREX,$52000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,196,DATA CIRCUITS,$79000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,197,TELEPHONE-MAINTENANCE,$3800.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,$43600.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,319,CLOTHING,$6200.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,$276500.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPL,$15807.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,$27000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,362,PAINT/PAINTING SUPPLIES,$1499.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,363,STRUCTURE STEEL IRON OT,$40000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,$203000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,$10344510.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,12,CONTRACT WAGE-PR,$86693.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,15,SCHEDULE SALARY ADJ,$28368.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,20,OVERTIME,$250000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,130,POSTAGE,$250.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,140,PROF & TECHNICAL SERVICES,$25000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,152,ADVERTISING,$300.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,157,RENTAL EQUIPMENT AND SERVICES,$79859.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,159,LEASE PURCHASE AGREEMNT,$1423.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,160,REPAIR/MAINT PROPERTY,$50000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,162,REPAIR/MAINT EQUIPMENT,$17000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,169,TECHNICAL MEETING COSTS,$150.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,178,FREIGHT/EXPENSE CHARGES,$225.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,185,WASTE DISPOSAL SERV,$35365.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,$45540.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,190,TELEPHONE-CENTREX,$45000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,197,TELEPHONE-MAINTENANCE,$8000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,229,TRAN/EXP ALLOWANCE,$11000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,245,REIMBURSEMENT TRAVELERS,$400.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,313,CLEANING AND SAN SUPPLY,$1000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,319,CLOTHING,$4900.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,340,MATERIAL AND SUPPLIES,$251000.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,350,STATIONERY AND OFFICE SUPPL,$2350.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,365,ELECTRICAL SUPPLIES,$19500.00
Local,0100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,440,MACHINERY AND EQUIPMENT,$15325.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,5,SALARIES AND WAGES - ON PAYROLL,$6579898.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,12,CONTRACT WAGE-PR,$11960.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,15,SCHEDULE SALARY ADJ,$15626.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,20,OVERTIME,$36400.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,39,STUDENT AS TRAINEES,$10000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,126,OFFICE CONVENIENCES,$400.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,130,POSTAGE,$4000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,140,PROF & TECHNICAL SERVICES,$151486.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,144,ENGINEERING AND ARCH,$373861.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,148,TESTING AND INSPECTING,$3000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,149,SOFTWARE MAINT/LICENSING,$35000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,150,PUBLICATN & REPRODT-OUT,$6000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,152,ADVERTISING,$2000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,154,RENTAL-DATA HARDWARE EQ,$10000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,157,RENTAL EQUIPMENT AND SERVICES,$42000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,160,REPAIR/MAINT PROPERTY,$5233.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,161,MAINT FACILITIES,$1000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,162,REPAIR/MAINT EQUIPMENT,$68912.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,166,DUES  SUBSC & MEM,$2000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,169,TECHNICAL MEETING COSTS,$3000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,178,FREIGHT/EXPENSE CHARGES,$750.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,181,MOBILE COMM SERVICES,$14500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,190,TELEPHONE-CENTREX,$13000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,197,TELEPHONE-MAINTENANCE,$900.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,229,TRAN/EXP ALLOWANCE,$41378.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,245,REIMBURSEMENT TRAVELERS,$3000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,340,MATERIAL AND SUPPLIES,$20296.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,345,APPARATUS AND INSTRUMENTS,$2000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,348,BOOKS AND RELATED MTL,$2000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,ENGINEERING,350,STATIONERY AND OFFICE SUPPL,$13310.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$6781527.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,12,CONTRACT WAGE-PR,$18484.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,15,SCHEDULE SALARY ADJ,$89170.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,20,OVERTIME,$8663.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,39,STUDENT AS TRAINEES,$33920.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,126,OFFICE CONVENIENCES,$1820.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,130,POSTAGE,$52717.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,140,PROF & TECHNICAL SERVICES,$75000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,149,SOFTWARE MAINT/LICENSING,$223500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,150,PUBLICATN & REPRODT-OUT,$12295.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,152,ADVERTISING,$9000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,154,RENTAL-DATA HARDWARE EQ,$2000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,$79147.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,160,REPAIR/MAINT PROPERTY,$12505.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,$188440.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,173,EQUIPMENT,$6260.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,179,MESSENGER SERVICES,$500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,188,VEHICLE TRACKING SERVICE,$9301.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,190,TELEPHONE-CENTREX,$28000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,196,DATA CIRCUITS,$5700.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,197,TELEPHONE-MAINTENANCE,$5000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,229,TRAN/EXP ALLOWANCE,$134134.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,245,REIMBURSEMENT TRAVELERS,$1000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,270,LOCAL TRANSPORTATION,$500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,313,CLEANING AND SAN SUPPLY,$883.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,319,CLOTHING,$17300.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,340,MATERIAL AND SUPPLIES,$594257.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,348,BOOKS AND RELATED MTL,$1045.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,$11000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,362,PAINT/PAINTING SUPPLIES,$40000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,370,TOOLS < $ 10.00/UNIT,$2300.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,9438,REIMBURSEMENT - 2FM,$4000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,5,SALARIES AND WAGES - ON PAYROLL,$627847.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,15,SCHEDULE SALARY ADJ,$1806.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,39,STUDENT AS TRAINEES,$10000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,130,POSTAGE,$500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,138,PROF SERV-IT MAINT,$25000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,139,PROF SERV-IT DEVELOPMENT,$10000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,140,PROF & TECHNICAL SERVICES,$654000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,149,SOFTWARE MAINT/LICENSING,$1000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,166,DUES  SUBSC & MEM,$1800.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,169,TECHNICAL MEETING COSTS,$2400.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,178,FREIGHT/EXPENSE CHARGES,$450.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,229,TRAN/EXP ALLOWANCE,$1875.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,270,LOCAL TRANSPORTATION,$325.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,340,MATERIAL AND SUPPLIES,$2000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,345,APPARATUS AND INSTRUMENTS,$8000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,348,BOOKS AND RELATED MTL,$1300.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPL,$3000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$13046013.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,12,CONTRACT WAGE-PR,$184127.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,20,OVERTIME,$700000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,140,PROF & TECHNICAL SERVICES,$1032900.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,$117495.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,159,LEASE PURCHASE AGREEMNT,$6860.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$16339.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,188,VEHICLE TRACKING SERVICE,$13255.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,$107560.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,319,CLOTHING,$9800.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,$363500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,345,APPARATUS AND INSTRUMENTS,$30000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPL,$11000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,$6500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,362,PAINT/PAINTING SUPPLIES,$1000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,$327000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,423,COMMUNICATION DEVICES,$700.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,440,MACHINERY AND EQUIPMENT,$3750.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,$29328503.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,12,CONTRACT WAGE-PR,$549359.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,15,SCHEDULE SALARY ADJ,$4222.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,20,OVERTIME,$1000000.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,40,ADJ SAL-PER DIEM-PREV R,$51407.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,130,POSTAGE,$250.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,140,PROF & TECHNICAL SERVICES,$8460.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,150,PUBLICATN & REPRODT-OUT,$500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,157,RENTAL EQUIPMENT AND SERVICES,$286587.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,160,REPAIR/MAINT PROPERTY,$42891.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,162,REPAIR/MAINT EQUIPMENT,$36631.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,169,TECHNICAL MEETING COSTS,$100.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,181,MOBILE COMM SERVICES,$87500.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,185,WASTE DISPOSAL SERV,$107681.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,$167160.00
Local,0300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,IN-HOUSE CONSTRUCTION,190,TELEPHONE-CENTREX,$35000.00
