FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2015 ORDINANCE (AMOUNT $)
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,39,STUDENT AS TRAINEES,$150.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,130,POSTAGE,$934.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,138,IT MAINTENANCE,$11470.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,140,PROFESSIONAL AND TECHNICAL SERVICES,$26735.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,141,APPRAISALS,$200.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,143,COURT REPORTING,$18800.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,145,LEGAL EXPENSES,$3609.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,149,SOFTWARE MAINTENANCE AND LICENSING,$4895.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,150,PUBLICATN & REPRODT-OUT,$287.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,157,RENTAL EQUIPMENT AND SERVICES,$369.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,159,LEASE PURCHASE AGREEMNT,$3447.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,162,REPAIR/MAINT EQUIPMENT,$124.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,166,DUES  SUBSC & MEM,$5249.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,169,TECHNICAL MEETING COSTS,$1350.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,178,FREIGHT AND EXPRESS CHARGES,$943.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,181,MOBILE COMMUNICATION SERVICES,$780.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,190,TELEPHONE - NON-CENTREX BILLINGS,$4329.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,191,TELEPHONE - RELOCATIONS,$100.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,197,TELEPHONE - MAINTENANCE,$810.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$100.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,245,REIMBURSEMENT TO TRAVELERS,$1384.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,270,LOCAL TRANSPORTATION,$1202.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,348,BOOKS AND RELATED MATERIAL,$741.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,350,STATIONERY AND OFFICE SUPPLIES,$4483.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,9438,REIMBURSEMENT - 2FM,$608.00
LOCAL,0610,MIDWAY AIRPORT FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,5,SALARIES AND WAGES - ON PAYROLL,$75840.00
LOCAL,0610,MIDWAY AIRPORT FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,11,CONTRACT WAGE - SALARY,$379.00
LOCAL,0610,MIDWAY AIRPORT FUND,33,DEPARTMENT OF HUMAN RESOURCES,2005,DEPARTMENT OF HUMAN RESOURCES,15,SCHEDULE SALARY ADJUSTMENTS,$1904.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,$15000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$526788.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$258598.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$1002629.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$4896276.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$1208879.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,$10270.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,20,OVERTIME,$100000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,$214000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,148,TESTING AND INSPECTING,$5890.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,$6580.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$30550.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,$315000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,319,CLOTHING,$600.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,$1000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,$158.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,350,STATIONERY AND OFFICE SUPPLIES,$846.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,$507795.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,440,MACHINERY AND EQUIPMENT,$30690.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FLEET AND FACILITY MGMT,2140,FLEET OPERATIONS,450,VEHICLES,$380000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,5,SALARIES AND WAGES - ON PAYROLL,$4059738.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,11,CONTRACT WAGE - SALARY,$267493.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,15,SCHEDULE SALARY ADJUSTMENTS,$13596.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,20,OVERTIME,$624000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,21,SWORN/CIVILIAN HOLIDAY PREMIUM PAY,$30000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,22,DUTY AVAILABILITY,$127452.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,24,COMPENSATORY TIME PAYMENT,$500000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,27,SUPERVISORS QUARTERLY PAYMENT,$53881.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,60,SPECIALTY PAY,$100000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,70,TUITION REIMBURSEMENT,$25000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,88,FURLOUGH / COMP TIME BUY-BACK,$75000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,91,UNIFORM ALLOWANCE,$94000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,DEPARTMENT OF POLICE,1005,DEPARTMENT OF POLICE,937,HOSPITAL//MEDICAL - NOT WORKERS' COMP,$65000.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,5,SALARIES AND WAGES - ON PAYROLL,$1817577.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,15,SCHEDULE SALARY ADJUSTMENTS,$15948.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,20,OVERTIME,$145000.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,91,UNIFORM ALLOWANCE,$4500.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,319,CLOTHING,$3500.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,340,MATERIAL AND SUPPLIES,$18525.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,423,COMMUNICATION DEVICES,$35625.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,5,SALARIES AND WAGES - ON PAYROLL,$6170830.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,15,SCHEDULE SALARY ADJUSTMENTS,$11018.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,20,OVERTIME,$130000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,21,SWORN/CIVILIAN HOLIDAY PREMIUM PAY,$213000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,22,DUTY AVAILABILITY,$244000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,24,COMPENSATORY TIME PAYMENT,$54000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,28,COOPERATIVE EDUCATION PROGRAM,$63000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,60,SPECIALTY PAY,$240000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,61,DRIVER'S DIFFERENTIAL,$55000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,62,REQUIRED CERTIFICATIONS,$17000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,63,FITNESS BENEFIT,$9000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,88,FURLOUGH / COMP TIME BUY-BACK,$252000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,91,UNIFORM ALLOWANCE,$75000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,$45000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,FIRE DEPARTMENT,2005,FIRE DEPARTMENT,937,HOSPITAL//MEDICAL - NOT WORKERS' COMP,$157500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,5,SALARIES AND WAGES - ON PAYROLL,$13940277.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,11,CONTRACT WAGE - SALARY,$4142.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,12,CONTRACT WAGE - PREVAILING RATE,$66069.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,15,SCHEDULE SALARY ADJUSTMENTS,$63968.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,20,OVERTIME,$950000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,39,STUDENT AS TRAINEES,$10000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,49,WORKERS' COMPENSATION,$2050085.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,91,UNIFORM ALLOWANCE,$30300.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,130,POSTAGE,$500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,138,IT MAINTENANCE,$3916700.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,140,PROFESSIONAL AND TECHNICAL SERVICES,$17625500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,141,APPRAISALS,$16000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,142,ACCOUNTING AND AUDITING,$280600.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,144,ENGINEERING AND ARCHITECTURE,$92000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,148,TESTING AND INSPECTING,$7460.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,149,SOFTWARE MAINTENANCE AND LICENSING,$200900.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,150,PUBLICATN & REPRODT-OUT,$15000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,152,ADVERTISING,$31000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,154,RENTAL-DATA HARDWARE EQ,$21000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,157,RENTAL EQUIPMENT AND SERVICES,$13601900.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,160,REPAIR/MAINT PROPERTY,$1350000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,161,MAINT FACILITIES,$16270400.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,162,REPAIR/MAINT EQUIPMENT,$11343200.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,163,MAINT STREETS,$4200000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,166,DUES  SUBSC & MEM,$48500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,168,EDUCATION DEVELOPMENT,$142100.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,169,TECHNICAL MEETING COSTS,$47000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,181,MOBILE COMMUNICATION SERVICES,$31000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,183,WATER,$300000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,185,WASTE DISPOSAL SERVICES,$400000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,186,PAGERS,$5000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,189,TELEPHONE - NON-CENTREX BILLINGS,$31900.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,190,TELEPHONE - NON-CENTREX BILLINGS,$501000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,191,TELEPHONE - RELOCATIONS,$1000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,197,TELEPHONE - MAINTENANCE,$9000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$100.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,245,REIMBURSEMENT TO TRAVELERS,$9500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,270,LOCAL TRANSPORTATION,$100.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,313,CLEANING AND SANITATION SUPPLIES,$39000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,319,CLOTHING,$34900.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,340,MATERIAL AND SUPPLIES,$2495400.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,345,APPARATUS AND INSTRUMENTS,$11000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,350,STATIONERY AND OFFICE SUPPLIES,$22000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,360,REPAIR PARTS AND MATERIAL,$62500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,361,BUILDING MATERIALS AND SUPPLIES,$8500.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,362,PAINTS AND PAINTING SUPPLIES,$70000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,364,PLUMBING SUPPLIES,$2000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,365,ELECTRICAL SUPPLIES,$517000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,401,TOOL <= $100 UNIT,$2000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,402,TOOLS > $100 UNIT,$15000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,422,OFFICE MACHINES,$5000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,423,COMMUNICATION DEVICES,$228000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,424,FURNITURE AND FURNISHINGS,$25000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,440,MACHINERY AND EQUIPMENT,$464000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,446,PURCHASE - DATA HARDWARE,$187000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,DEPARTMENT OF AVIATION,2010,CHICAGO MIDWAY AIRPORT,9438,REIMBURSEMENT - 2FM,$62000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,3,SCHEDULED WAGE ADJUSTMENTS,$64284.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,8,PAYMENT RETROACTIVE SALARIES,$342449.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,$1282282.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,$2699620.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,43,TEXT FILE - EXTRA LONG,$56250.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,$32234.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,$175000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLOYMENT INSURANCE CLAIM,$93185.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,$662713.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,$140528.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,$1190045.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,$507500.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,145,LEGAL EXPENSES,$838000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,172,INSURANCE PREMIUMS,$4200000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,$1734150.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,913,PAYMENT OF FIRST LIEN BONDS,$2800000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,917,INTEREST ON JUNIOR LIEN BONDS,$72434825.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,919,PAYMENT OF JUNIOR LIEN BONDS,$20670000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,$4500.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,$5319.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9045,REPAIR AND REPLACEMENT,$1200000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9046,OPERATIONS AND MAINTENANCE RESERVE,$625000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,$307282.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9551,RETROACTIVE PENSION PAYMENTS,$57142.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,$7778000.00
